PS C:\Users\bakar\44-671\.venv\streaming-02-multiple-processes>  c:; cd 'c:\Users\bakar\44-671\.venv\streaming-02-multiple-processes'; & 'C:\Users\bakar\AppData\Local\Microsoft\WindowsApps\python3.11.exe' 'c:\Users\bakar\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\adapter/../..\debugpy\launcher' '53195' '--' 'c:\Users\bakar\44-671\.venv\streaming-02-multiple-processes\process_streaming_bkargel.py' 
2023-09-03 19:08:04,902 - INFO - ===============================================
2023-09-03 19:08:04,902 - INFO - Starting streaming process.
2023-09-03 19:08:04,902 - INFO - Starting to stream data from hurricanes.csv to ('localhost', 9999).
2023-09-03 19:08:04,902 - INFO - Opened for reading: hurricanes.csv.
2023-09-03 19:08:04,902 - INFO - Skipped header row: ['RowID', 'Year', 'NamedStorms', 'Hurricanes', 'MajorHurricanes']  
2023-09-03 19:08:04,902 - INFO - Sent: b'[1, 1851, 6, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:05,919 - INFO - Sent: b'[2, 1852, 5, 5, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:06,922 - INFO - Sent: b'[3, 1853, 8, 4, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:07,927 - INFO - Sent: b'[4, 1854, 5, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:08,931 - INFO - Sent: b'[5, 1855, 5, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:09,936 - INFO - Sent: b'[6, 1856, 6, 4, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:10,940 - INFO - Sent: b'[7, 1857, 4, 3, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:11,942 - INFO - Sent: b'[8, 1858, 6, 6, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:12,947 - INFO - Sent: b'[9, 1859, 8, 7, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:13,951 - INFO - Sent: b'[10, 1860, 7, 6, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:14,955 - INFO - Sent: b'[11, 1861, 8, 6, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:15,960 - INFO - Sent: b'[12, 1862, 6, 3, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:16,965 - INFO - Sent: b'[13, 1863, 9, 5, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:17,972 - INFO - Sent: b'[14, 1864, 5, 3, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:18,974 - INFO - Sent: b'[15, 1865, 7, 3, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:19,978 - INFO - Sent: b'[16, 1866, 7, 6, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:20,984 - INFO - Sent: b'[17, 1867, 9, 7, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:21,988 - INFO - Sent: b'[18, 1868, 4, 3, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:22,994 - INFO - Sent: b'[19, 1869, 10, 7, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:23,996 - INFO - Sent: b'[20, 1870, 11, 10, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:24,998 - INFO - Sent: b'[21, 1871, 8, 6, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:26,002 - INFO - Sent: b'[22, 1872, 5, 4, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:27,006 - INFO - Sent: b'[23, 1873, 5, 3, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:28,008 - INFO - Sent: b'[24, 1874, 7, 4, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:29,011 - INFO - Sent: b'[25, 1875, 6, 5, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:30,014 - INFO - Sent: b'[26, 1876, 5, 4, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:31,018 - INFO - Sent: b'[27, 1877, 8, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:32,021 - INFO - Sent: b'[28, 1878, 12, 10, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:33,024 - INFO - Sent: b'[29, 1879, 8, 6, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:34,028 - INFO - Sent: b'[30, 1880, 11, 9, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:35,032 - INFO - Sent: b'[31, 1881, 7, 4, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:36,034 - INFO - Sent: b'[32, 1882, 6, 4, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:37,039 - INFO - Sent: b'[33, 1883, 4, 3, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:38,044 - INFO - Sent: b'[34, 1884, 4, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:39,059 - INFO - Sent: b'[35, 1885, 8, 6, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:40,060 - INFO - Sent: b'[36, 1886, 12, 10, 4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:41,064 - INFO - Sent: b'[37, 1887, 19, 11, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:42,068 - INFO - Sent: b'[38, 1888, 9, 6, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:43,070 - INFO - Sent: b'[39, 1889, 9, 6, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:44,073 - INFO - Sent: b'[40, 1890, 4, 2, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:45,077 - INFO - Sent: b'[41, 1891, 10, 7, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:46,081 - INFO - Sent: b'[42, 1892, 9, 5, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:47,085 - INFO - Sent: b'[43, 1893, 12, 10, 5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:48,089 - INFO - Sent: b'[44, 1894, 7, 5, 4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:49,095 - INFO - Sent: b'[45, 1895, 6, 2, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:50,098 - INFO - Sent: b'[46, 1896, 7, 6, 2]' on port 9999. Hit CTRL-c to stop.
